STOP! Read the comment in this cell FIRST for sheet instructions and rules. 	 Overall Projects Budget 														 Mud Dumping 														 Coal Ash 														 BCSS 														 Prichard 														 Hog Bayou 														 Toxics Criteria 														 Numeric Nutrient Criteria 														 Dam Removal 														 Poop Policy 														 Oyster Planting Project 														 Oyster Keeper 														 Oyster Hatchery Project 														 Oyster Farm Project 														 Oyster Monitoring Project 														 Project 													 Project Totals 
	 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 		 January 
 7410 Consulting 	 $8,750 	 $13,750 	 $16,750 	 $9,850 	 $13,850 	 $9,850 	 $14,850 	 $11,850 	 $11,850 	 $10,750 	 $10,750 	 $10,750 	 $143,600 		 $7,500 	 $7,500 	 $7,500 	 $7,500 	 $7,500 	 $7,500 	 $7,500 	 $7,500 	 $7,500 	 $7,500 	 $7,500 	 $7,500 	 $90,000 			 $5,000 	 $5,000 										 $10,000 														 $-   				 $3,000 		 $4,000 		 $3,000 						 $10,000 		 $1,250 	 $1,250 	 $1,250 	 $1,250 	 $1,250 	 $1,250 	 $1,250 	 $1,250 	 $1,250 	 $1,250 	 $1,250 	 $1,250 	 $15,000 					 $1,100 	 $1,100 	 $1,100 	 $1,100 	 $1,100 	 $1,100 				 $6,600 								 $2,000 	 $2,000 	 $2,000 	 $2,000 	 $2,000 	 $2,000 	 $12,000 														 $-   														 $-   														 $-   														 $-   					 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   															 #REF! 
 7415: Contractors 	 $4,209 	 $3,709 	 $6,084 	 $3,709 	 $4,209 	 $6,084 	 $2,872 	 $2,247 	 $6,084 	 $-   	 $500 	 $-   	 $39,710 		 $500 		 $500 		 $500 	 $500 	 $500 	 $500 	 $500 		 $500 		 $4,000 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   				 $1,875 			 $1,875 			 $1,875 				 $5,625 														 $-   														 $-   				 $1,747 	 $3,084 	 $3,709 	 $3,709 	 $3,709 	 $3,709 	 $3,709 	 $3,709 	 $2,372 	 $1,747 	 $31,207 														 $-   															 #REF! 
 7420: Field Equipment 	 $3,000 	 $508 	 $14,508 	 $525 	 $525 	 $14,525 	 $8 	 $-   	 $23,651 	 $-   	 $2,500 	 $-   	 $59,751 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   				 $14,000 			 $14,000 			 $14,000 				 $42,000 			 $8 	 $8 	 $25 	 $25 	 $25 	 $8 						 $100 														 $-   		 $2,000 	 $2,151 	 $2,000 	 $500 	 $500 	 $500 	 $500 	 $500 	 $500 	 $500 			 $9,651 		 $2,500 												 $2,500 															 #REF! 
 7425 Laboratory 	 $-   	 $-   	 $-   	 $-   	 $-   	 $5,550 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $5,550 			 $-   			 $-   								 $-   														 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   							 $-   		 $-   		 $-   		 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   							 $5,550 							 $5,550 														 $-   														 $-   														 $-   															 #REF! 
 7430 Legal Fees 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $3,750 	 $3,750 	 $3,750 	 $3,750 	 $3,750 	 $3,750 	 $22,500 														 $-   														 $-   					 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   								 $3,750 	 $3,750 	 $3,750 	 $3,750 	 $3,750 	 $3,750 	 $22,500 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7435 Technology & Software 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $648 														 $-   		 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $54 	 $648 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7440 Testing Equipment 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7445 Testing Supplies 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   			 $-   			 $-   								 $-   														 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7450 Transportation Equipment 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7460 Meals 	 $2,167 	 $1,939 	 $3,219 	 $1,999 	 $1,802 	 $3,022 	 $2,167 	 $1,939 	 $1,969 	 $2,167 	 $1,969 	 $1,939 	 $26,301 														 $-   		 $88 	 $88 	 $88 	 $88 	 $88 	 $88 	 $88 	 $88 	 $88 	 $88 	 $88 	 $88 	 $1,060 		 $17 	 $17 	 $17 	 $17 	 $17 	 $17 	 $17 	 $17 	 $17 	 $17 	 $17 	 $17 	 $200 				 $1,250 			 $1,250 							 $2,500 		 $1,834 	 $1,834 	 $1,834 	 $1,667 	 $1,667 	 $1,667 	 $1,834 	 $1,834 	 $1,834 	 $1,834 	 $1,834 	 $1,834 	 $21,510 														 $-   		 $30 		 $30 	 $30 	 $30 		 $30 		 $30 	 $30 	 $30 		 $240 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															
 7465 Conferences 	 $-   	 $-   	 $-   	 $-   	 $-   	 $1,500 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $1,500 							 $1,500 							 $1,500 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															
 7455 Travel 	 $2,073 	 $2,300 	 $2,300 	 $1,913 	 $2,299 	 $2,049 	 $2,049 	 $1,686 	 $1,686 	 $1,822 	 $1,822 	 $1,686 	 $23,689 		 $1,360 	 $1,360 	 $1,360 	 $1,360 	 $1,360 	 $1,360 	 $1,360 	 $1,360 	 $1,360 	 $1,360 	 $1,360 	 $1,360 	 $16,315 		 $680 	 $680 	 $680 	 $40 	 $40 	 $40 	 $40 	 $40 	 $40 	 $40 	 $40 	 $40 	 $2,399 		 $-   	 $-   	 $-   	 $31 	 $31 	 $31 	 $31 	 $31 	 $31 	 $31 	 $31 	 $31 	 $276 		 $30 	 $30 	 $30 	 $30 	 $416 	 $166 	 $166 	 $30 	 $30 	 $166 	 $166 	 $30 	 $1,291 		 $4 	 $4 	 $4 	 $4 	 $4 	 $4 	 $4 	 $4 	 $4 	 $4 	 $4 	 $4 	 $46 			 $227 	 $227 	 $227 	 $227 	 $227 	 $227 						 $1,362 		 $228 			 $228 			 $228 			 $228 			 $911 														 $-   														 $-   														 $-   					 $222 	 $222 	 $222 	 $222 	 $222 	 $222 	 $222 	 $222 	 $222 	 $2,000 		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   															 #REF! 
 Totals 	 $25,599 	 $31,527 	 $48,942 	 $20,073 	 $24,981 	 $46,386 	 $27,273 	 $24,493 	 $58,585 	 $27,257 	 $25,659 	 $20,379 	 $381,154 														 $137,410 														 $20,777 														 $2,876 														 $19,831 														 $41,756 														 $30,462 														 $13,151 														 $-   														 $-   														 $47,625 														 $11,650 														 $-   														 $42,858 														 $5,700 
